Fiscal Year,Fund Class,Fund,Cost Center,Description,Type,Object Code,Description,Budget-Mayor's Recommended,Budget-Council Approved
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2113,EXECUTIVE - OVERTIME PAY      ,800,800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,219110,EMPLOYEE BENEFITS-FICA        ,62173,62173
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,219113,EMPL BENEFITS-STATE RETIREMENT,14004,14004
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,219114,DEFERRED BENEFIT 401K         ,2112,2112
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,219115,EMPL BENEFITS-STATE RET.NON.CT,132618,132618
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,219118,Emp.Benefits 501C9 OPEB       ,6324,6324
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2195,EMPLOYEE INSURANCE            ,114048,114048
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2211,Books                         ,500,500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2221,STATIONERY SUPPLIES           ,7000,7000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2275,LAUNDRY & LINEN SUPPLIES      ,1500,1500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2295,SAFETY EQUIPMENT              ,1700,1700
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2297,TRAIN & EDUC EQUIP & MATERIAL ,500,500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2298,SMALL TOOLS & EQUIPMENT       ,600,600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2299,OTHER MATERIAL & SUPPLIES     ,5600,5600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,233606,Telephone - Cell Phones       ,38200,38200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2341,OFFICE EQUIPMENT MC'S         ,500,500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2370,PRINTING CHARGES              ,700,700
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2371,PRINTING-PUBLIC NOTICES       ,600,600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2399,OTHER CONTRACTUAL PAYMENTS    ,2500,2500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2520,MEALS & ENTERTAINMENT         ,1000,1000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2521,EMP. MEAL ALLOWANCE           ,200,200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2522,MEMBERSHIPS                   ,2700,2700
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2524,MILEAGE                       ,200,200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2525,OUT OF TOWN TRAVEL            ,60300,60300
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,2529,OTHER EMPLOYEE COSTS          ,6300,6300
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5402000,MAINTENANCE DIVISION          ,XP,276090,OTHER NON-MOTIVE EQUIP-REPLACE,14600,14600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,RV,179201,Section Other Revenue         ,0,26900
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,211101,EXECUTIVE ANNUAL BASE PAY     ,990859,990859
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,211102,EXECUTIVE LONGEVITY PAY       ,6100,6100
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2113,EXECUTIVE - OVERTIME PAY      ,2200,2200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,219110,EMPLOYEE BENEFITS-FICA        ,74237,74237
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,219114,DEFERRED BENEFIT 401K         ,2316,2316
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,219115,EMPL BENEFITS-STATE RET.NON.CT,167568,167568
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,219118,Emp.Benefits 501C9 OPEB       ,9003,9003
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2195,EMPLOYEE INSURANCE            ,135861,135861
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,219501,HSA - City Contribution       ,8250,8250
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2211,Books                         ,400,400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,221201,Books                         ,400,400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2213,PERIODICALS                   ,200,200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2221,STATIONERY SUPPLIES           ,8400,8400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,222310,COPY CENTER CHARGES           ,3400,3400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2224,POSTAGE                       ,18000,18000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2296,LICENSE & TAGS / CERTIFICATES ,800,800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2299,OTHER MATERIAL & SUPPLIES     ,1400,1400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,229996,Office Furniture Non Capital  ,4000,4000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2311,AUDITING FEES                 ,61000,61000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2329,OTHER PROFESSIONAL & TECH SERV,109000,109000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,233606,Telephone - Cell Phones       ,3600,3600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2341,OFFICE EQUIPMENT MC'S         ,7000,7000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2349,OTHER MC'S                    ,15000,15000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2370,PRINTING CHARGES              ,2400,2400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2520,MEALS & ENTERTAINMENT         ,3400,3400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2522,MEMBERSHIPS                   ,3500,3500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,252202,Professional Licensing fees   ,200,200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2524,MILEAGE                       ,800,800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2525,OUT OF TOWN TRAVEL            ,33200,33200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2529,OTHER EMPLOYEE COSTS          ,3500,3500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2542,BAD DEBTS                     ,30000,30000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,2590,OTHER EXPENSES                ,14400,14400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403000,GENERAL AND ADMIN DIVISION    ,XP,276051,OFFICE EQUIP/FURNISH-NEW ACQUI,15000,15000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403100,AIRFIELD-REVENUE ONLY         ,RV,1700,LANDING FEE SCHEDULED AIRLINE ,21770100,21770100
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403100,AIRFIELD-REVENUE ONLY         ,RV,1701,Landing Fees International    ,413800,413800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403100,AIRFIELD-REVENUE ONLY         ,RV,1702,LANDING FEES CHARTERS         ,139100,139100
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403100,AIRFIELD-REVENUE ONLY         ,RV,1704,LANDING FEES CARGO            ,1716600,1716600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403100,AIRFIELD-REVENUE ONLY         ,RV,1710,FUEL FARM RENTAL              ,528100,528100
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403100,AIRFIELD-REVENUE ONLY         ,RV,1717,Aircraft Remain Overnight Fees,124300,124300
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403100,AIRFIELD-REVENUE ONLY         ,RV,1752,LEASED SITE AREAS             ,82800,82800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403100,AIRFIELD-REVENUE ONLY         ,RV,1760,A.A.R.F. Training Revenue     ,601900,601900
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403100,AIRFIELD-REVENUE ONLY         ,RV,1786,STATE AVIATION FUEL TAX       ,2360000,2360000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403100,AIRFIELD-REVENUE ONLY         ,RV,1789,Glycol Recycling Sales        ,325000,325000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,1713,CUSTOM FACILITY USE FEE       ,383500,383500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,1715,TENANT TELEPHONE FEES         ,343600,343600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,1719,Passenger Loading Bridge Fees ,1451900,1451900
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,1720,AIRLINES TERMINAL RENTS/TU #1 ,7051800,7051800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,1721,AIRLINES TERMINAL RENTS/TU#2  ,17328100,17328100
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,1725,Bag Claim/Canopy TU 1         ,1239200,1239200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,1726,Bag Claim TU 2                ,1044400,1044400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,1738,OFFICE SPACE                  ,952200,952200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,1740,FOOD SERVICE                  ,7585100,7585100
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,1742,VENDING                       ,378500,378500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,1743,PUBLIC TELEPHONE REVENUE      ,7400,7400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,1744,GIFT SHOP BOUTIQUE ETC        ,4518100,4518100
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,1750,COMMUNICATIONS RENTAL         ,360000,360000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,1752,LEASED SITE AREAS             ,2400,2400
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,1762,ADVERTISING MEDIA FEES        ,633700,633700
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,1780,SECURITY CHARGES TO AIRLINES  ,320000,320000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403200,TERMINAL #1-REVENUE ONLY      ,RV,179202,Other Utility Reimbursement   ,207200,207200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403300,LANDSIDE-REVENUE ONLY         ,RV,1718,EXTRAORDINARY SERVICE CHARGE  ,6000,6000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403300,LANDSIDE-REVENUE ONLY         ,RV,1736,OTHER BUILDINGS               ,43900,43900
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403300,LANDSIDE-REVENUE ONLY         ,RV,1746,Car Rental Commissions        ,13799500,13799500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403300,LANDSIDE-REVENUE ONLY         ,RV,1747,Car Rental Facilities         ,2968300,2968300
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403300,LANDSIDE-REVENUE ONLY         ,RV,1754,AUTO PARKING                  ,28699900,28699900
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403300,LANDSIDE-REVENUE ONLY         ,RV,1758,GROUND TRANSPORTATION FEES    ,1713500,1713500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403400,AIRPORT #2-REVENUE ONLY       ,RV,1718,EXTRAORDINARY SERVICE CHARGE  ,9600,9600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403400,AIRPORT #2-REVENUE ONLY       ,RV,1728,GENERAL AVIATION HANGERS      ,433000,433000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403400,AIRPORT #2-REVENUE ONLY       ,RV,1730,FBO HANGARS                   ,124600,124600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403400,AIRPORT #2-REVENUE ONLY       ,RV,1738,OFFICE SPACE                  ,20600,20600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403400,AIRPORT #2-REVENUE ONLY       ,RV,1752,LEASED SITE AREAS             ,4800,4800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403400,AIRPORT #2-REVENUE ONLY       ,RV,1788,FUEL OIL ROYALTIES FBO        ,11000,11000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403400,AIRPORT #2-REVENUE ONLY       ,RV,1790,UTAH AIR NATIONAL GUARD       ,60500,60500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403450,TOOELE AIRPORT REVENUE ONLY   ,RV,1728,GENERAL AVIATION HANGERS      ,1600,1600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403450,TOOELE AIRPORT REVENUE ONLY   ,RV,1752,LEASED SITE AREAS             ,30100,30100
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403450,TOOELE AIRPORT REVENUE ONLY   ,RV,179203,Fuel Sales Revenue            ,40900,40900
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403500,GENERAL AVIATION-REVENUE ONLY ,RV,1722,EXECUTIVE TERMINAL NEW        ,187700,187700
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403500,GENERAL AVIATION-REVENUE ONLY ,RV,1728,GENERAL AVIATION HANGERS      ,693500,693500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403500,GENERAL AVIATION-REVENUE ONLY ,RV,1730,FBO HANGARS                   ,137800,137800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403500,GENERAL AVIATION-REVENUE ONLY ,RV,1736,OTHER BUILDINGS               ,28600,28600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403500,GENERAL AVIATION-REVENUE ONLY ,RV,1750,COMMUNICATIONS RENTAL         ,300,300
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403500,GENERAL AVIATION-REVENUE ONLY ,RV,1752,LEASED SITE AREAS             ,796000,796000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403500,GENERAL AVIATION-REVENUE ONLY ,RV,1788,FUEL OIL ROYALTIES FBO        ,293000,293000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403600,SOUTH SUPPORT-REVENUE ONLY    ,RV,1712,CARGO RAMP USE FEE            ,212700,212700
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403600,SOUTH SUPPORT-REVENUE ONLY    ,RV,1718,EXTRAORDINARY SERVICE CHARGE  ,93600,93600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403600,SOUTH SUPPORT-REVENUE ONLY    ,RV,1732,CARGO BUILDINGS               ,1953200,1953200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403600,SOUTH SUPPORT-REVENUE ONLY    ,RV,1734,FLIGHT KITCHENS               ,1179500,1179500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403600,SOUTH SUPPORT-REVENUE ONLY    ,RV,1736,OTHER BUILDINGS               ,3378500,3378500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403600,SOUTH SUPPORT-REVENUE ONLY    ,RV,1752,LEASED SITE AREAS             ,667200,667200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403800,GEN & ADMIN-REVENUE ONLY      ,RV,1750,COMMUNICATIONS RENTAL         ,3800,3800
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403800,GEN & ADMIN-REVENUE ONLY      ,RV,1794,ADAP/REVENUE ONLY             ,303000,303000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403900,OTHER-REVENUE ONLY            ,RV,1360,FEDERAL GRANT REVENUE         ,12839700,12839700
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403900,OTHER-REVENUE ONLY            ,RV,1736,OTHER BUILDINGS               ,1310200,1310200
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403900,OTHER-REVENUE ONLY            ,RV,1750,COMMUNICATIONS RENTAL         ,4300,4300
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403900,OTHER-REVENUE ONLY            ,RV,1752,LEASED SITE AREAS             ,439900,439900
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403900,OTHER-REVENUE ONLY            ,RV,175802,GT CITY REIMBURSEMENT         ,75000,75000
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403900,OTHER-REVENUE ONLY            ,RV,1790,UTAH AIR NATIONAL GUARD       ,76500,76500
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403900,OTHER-REVENUE ONLY            ,RV,1792,OTHER                         ,236100,236100
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5403900,OTHER-REVENUE ONLY            ,RV,1885,FUEL REIMBURSMENT             ,9600,9600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5405000,MOTIVE EQUIPMENT              ,XP,211101,EXECUTIVE ANNUAL BASE PAY     ,438840,438840
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5405000,MOTIVE EQUIPMENT              ,XP,211102,EXECUTIVE LONGEVITY PAY       ,6900,6900
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5405000,MOTIVE EQUIPMENT              ,XP,211109,EXECUTIVE - OTHER PAY         ,4788,4788
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5405000,MOTIVE EQUIPMENT              ,XP,2113,EXECUTIVE - OVERTIME PAY      ,16600,16600
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5405000,MOTIVE EQUIPMENT              ,XP,214101,OP/MAINT ANNUAL BASE PAY      ,1043292,1043292
2014,AIRPORT FUND                  ,IMPROVEMENT FUND              ,5405000,MOTIVE EQUIPMENT              ,XP,214102,OP/MAINT LONGEVITY PAY        ,13050,13050
